run_time_s,segment_id,phase_time_s,event,sigma_min,sigma_rate_per_s,sigma_plus,sigma_minus,probe_difference,probe_confidence,gradient_abs_per_rad,direction_valid,push_active,k_sigma_Nm,alpha_rad,tau_sigma_norm_Nm,sigma_power_W,nullspace_speed_rad_s,speed_toward_better_rad_s,peak_nullspace_speed_rad_s,peak_abs_speed_toward_better_rad_s,min_speed_toward_better_rad_s,max_speed_toward_better_rad_s,raw_joint_speed_rad_s,nullspace_speed_fraction,raw_velocity_dominant_joint,raw_velocity_dominant_share_pct,sigma_dominant_joint,sigma_dominant_share_pct,position_error_mm,rotation_error_deg,peak_position_error_mm,peak_rotation_error_deg,cartesian_speed_mm_s,angular_speed_deg_s,command_force_norm_N,command_moment_norm_Nm,tau_task_norm_Nm,tau_nullspace_norm_Nm,tau_cmd_norm_Nm,nullspace_damping_Nms_rad,disturbance_scale,disturbance_force_norm_N,disturbance_tau_norm_Nm,disturbance_torque_scale,external_force_delta_norm_N,external_moment_delta_norm_Nm,external_joint_torque_delta_norm_Nm,external_joint_torque_along_nbest_Nm,peak_external_force_delta_norm_N,peak_external_moment_delta_norm_Nm,peak_external_joint_torque_delta_norm_Nm,external_joint_torque_baseline_valid,joint_contact,cartesian_contact,Jn_norm,e_p_x_mm,e_p_y_mm,e_p_z_mm,e_R_x_deg,e_R_y_deg,e_R_z_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,dq7_rad_s,n_best_1,n_best_2,n_best_3,n_best_4,n_best_5,n_best_6,n_best_7,dqN_1_rad_s,dqN_2_rad_s,dqN_3_rad_s,dqN_4_rad_s,dqN_5_rad_s,dqN_6_rad_s,dqN_7_rad_s,tau_sigma_1_Nm,tau_sigma_2_Nm,tau_sigma_3_Nm,tau_sigma_4_Nm,tau_sigma_5_Nm,tau_sigma_6_Nm,tau_sigma_7_Nm,tau_ext_delta_1_Nm,tau_ext_delta_2_Nm,tau_ext_delta_3_Nm,tau_ext_delta_4_Nm,tau_ext_delta_5_Nm,tau_ext_delta_6_Nm,tau_ext_delta_7_Nm
0.000000000,0,0.000000000,hold_start,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860970593,12.103140816,-0.541843184,-130.912170462,-0.126531977,142.885144685,44.735240218,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,0,0.000000000,sample,0.216506809,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000245554,0.000000000,0.000245554,0.000000000,0.000000000,0.000000000,0.002347319,0.104610525,2,79.945007710,0,0.000000000,0.102393008,0.010132633,0.102393008,0.010132633,1.203266089,0.149737427,0.188472661,0.016568382,0.148543550,0.000000000,0.148542922,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.458185062,0.277439593,0.000000000,0.000000000,0.458185062,0.277439593,0.000000000,1,0,0,0.000000000,0.001372428,0.102335623,-0.003140823,0.001085004,-0.000288170,0.010070252,0.851191782,12.102610678,-0.542895186,-130.912274628,-0.127970608,142.884423270,44.735649696,0.000367557,0.002098784,0.000561473,0.000082466,-0.000727984,0.000158521,-0.000304581,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000167173,-0.000000327,0.000165504,0.000000024,-0.000057528,-0.000000074,0.000040605,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.050000000,0,0.050000000,sample,0.216509150,0.000046810,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.003823562,0.000000000,0.006121269,0.000000000,0.000000000,0.000000000,0.010083109,0.379204685,5,89.411897324,0,0.000000000,0.149184108,0.021076720,0.149184108,0.021076720,2.234673996,0.575779004,0.382984974,0.097244935,0.404994824,0.000000000,0.404992586,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.600189154,0.189350708,0.303222734,0.000000000,0.605023491,0.273107805,0.325229795,1,0,0,0.000000000,0.054546822,0.032999933,0.134876042,-0.005102783,-0.014836866,0.014073278,0.857444480,12.116410451,-0.542734334,-130.913989970,-0.117383413,142.885401819,44.737604946,0.001931602,0.001544383,-0.000669425,-0.001580337,0.009534373,-0.000716182,0.001090922,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002602883,0.000005100,-0.002576791,-0.000000344,0.000896730,0.000001051,-0.000632948,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.080060558,-0.133841116,-0.032733750,0.038230262,0.158409184,0.199855002,0.007235098
0.100000000,0,0.100000000,sample,0.216509152,0.000000040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000633874,0.000000000,0.004329608,0.000000000,0.000000000,0.000000000,0.001317381,0.481162004,1,68.117230792,0,0.000000000,0.199499157,0.028477771,0.200772553,0.028625476,0.813113677,0.069577638,0.407336590,0.025374327,0.354766962,0.000000000,0.354766286,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.958057899,0.422934539,0.547887868,0.000000000,1.003765878,0.427208865,0.547887868,1,0,0,0.000000000,0.070424343,0.024631789,0.185023243,-0.008188349,-0.020109232,0.018426968,0.857999838,12.121880978,-0.542921989,-130.913936394,-0.112050941,142.885553672,44.738070806,0.001087276,0.000418337,0.000320428,0.000086488,0.000467271,-0.000223190,0.000002758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000431495,0.000000847,-0.000427164,-0.000000055,0.000148723,0.000000166,-0.000104975,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.226264760,-0.069908141,-0.007891247,0.073811434,0.376115264,0.311456685,0.010948427
0.150000000,0,0.150000000,sample,0.216508833,-0.000006377,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000060602,0.000000000,0.002174077,0.000000000,0.000000000,0.000000000,0.002067663,0.029309218,7,53.900482097,0,0.000000000,0.187602571,0.027161319,0.199333800,0.028388866,1.044838450,0.119267636,0.329211414,0.008886105,0.259967362,0.000000000,0.259967981,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.023876116,0.516989374,0.612375623,0.000000000,1.028680479,0.530066757,0.612375623,1,0,0,0.000000000,0.064753889,0.016406310,0.175306849,-0.008318312,-0.018764337,0.017788832,0.858906890,12.121077684,-0.542968547,-130.913658301,-0.111844325,142.885817408,44.738130617,-0.000464516,-0.000945819,-0.000108615,0.000868853,-0.000288147,-0.000103829,-0.001518015,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000041253,-0.000000081,0.000040839,0.000000005,-0.000014218,-0.000000016,0.000010036,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.224685154,-0.071093313,-0.015300026,0.104461183,0.435380898,0.344407932,0.012109788
0.200000000,0,0.200000000,sample,0.216509040,0.000004146,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.001332105,0.000000000,0.001659566,0.000000000,0.000000000,0.000000000,0.001511964,0.881043239,3,57.041763154,0,0.000000000,0.197409950,0.028807759,0.199460334,0.028938955,0.418281810,0.041824075,0.379683669,0.020707624,0.317718967,0.000000000,0.317719286,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.107463352,0.525916843,0.639973982,0.000000000,1.166181384,0.547362963,0.639973982,1,0,0,0.000000000,0.068956522,0.023414168,0.183486956,-0.008417297,-0.019804803,0.019152177,0.858366346,12.121803311,-0.543196258,-130.913846008,-0.111577227,142.885688643,44.738516549,-0.000580140,-0.000355499,0.001141926,0.000059167,-0.000299455,0.000288011,0.000585640,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000906801,-0.000001780,0.000897698,0.000000114,-0.000312544,-0.000000348,0.000220606,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.264701514,-0.043075629,-0.005178876,0.111225569,0.448700691,0.351765481,0.013231968
0.251000000,0,0.251000000,sample,0.216508635,-0.000007952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000229957,0.000000000,0.001518555,0.000000000,0.000000000,0.000000000,0.001065110,0.215900106,2,36.621190073,0,0.000000000,0.191354702,0.028101819,0.198426428,0.028798535,0.366931019,0.076861094,0.392754481,0.033977362,0.343813357,0.000000000,0.343812841,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.068371957,0.542770666,0.628555596,0.000000000,1.141062450,0.542770666,0.641901858,1,0,0,0.000000000,0.065753261,0.015736461,0.179012554,-0.008607865,-0.019276377,0.018548267,0.859281565,12.121546138,-0.543318348,-130.913522985,-0.111226895,142.885637528,44.738429123,-0.000112676,0.000644556,-0.000467576,0.000392139,0.000301377,-0.000100048,0.000482777,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000156539,0.000000307,-0.000154967,-0.000000020,0.000053952,0.000000060,-0.000038082,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.231430796,-0.058863296,-0.004232121,0.093943908,0.453720490,0.350974890,0.012961921
0.300000000,0,0.300000000,sample,0.216508817,0.000003722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000892297,0.000000000,0.002464476,0.000000000,0.000000000,0.000000000,0.001899569,0.469736571,3,54.592548296,0,0.000000000,0.191627327,0.027749016,0.193777796,0.028153866,0.896442377,0.079769030,0.403215104,0.022000798,0.342131629,0.000000000,0.342130926,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.116046608,0.566979796,0.631646500,0.000000000,1.154864665,0.574702614,0.632119122,1,0,0,0.000000000,0.066011325,0.013009686,0.179427661,-0.008669826,-0.019197188,0.018064052,0.859273276,12.121535421,-0.543029592,-130.913641844,-0.111226886,142.885826487,44.738219299,-0.000023788,0.001027724,0.001403530,0.000107281,0.000202041,0.000716669,-0.000125455,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000607412,-0.000001192,0.000601315,0.000000076,-0.000209351,-0.000000233,0.000147768,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.225241269,-0.041347727,-0.008641794,0.109413567,0.455716815,0.355936030,0.010943240
0.350000000,0,0.350000000,sample,0.216508914,0.000001930,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000418236,0.000000000,0.001371184,0.000000000,0.000000000,0.000000000,0.001377996,0.303510269,3,47.491605705,0,0.000000000,0.191914630,0.027780510,0.197379295,0.028621373,0.963839284,0.100620049,0.410999707,0.026977490,0.364341065,0.000000000,0.364341260,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.077194815,0.538645016,0.639798832,0.000000000,1.133757357,0.573935543,0.639798832,1,0,0,0.000000000,0.066362796,0.013333758,0.179581222,-0.008636145,-0.019196996,0.018128682,0.859217342,12.121505346,-0.543002684,-130.913716352,-0.111292512,142.885870792,44.738306726,0.000433462,0.000194227,0.000949634,-0.000839230,-0.000214385,-0.000035556,0.000141143,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000284705,-0.000000559,0.000281847,0.000000036,-0.000098126,-0.000000109,0.000069262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248133344,-0.058977048,-0.008704464,0.103051812,0.455325242,0.355199063,0.010545252
0.400000000,0,0.400000000,sample,0.216508650,-0.000005279,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000180508,0.000000000,0.004607354,0.000000000,0.000000000,0.000000000,0.001082114,0.166810714,7,79.362479924,0,0.000000000,0.189285151,0.027793128,0.196069105,0.028652990,0.256906117,0.036451766,0.385630910,0.022825533,0.332442498,0.000000000,0.332442439,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.123597052,0.609091351,0.620667024,0.000000000,1.147185872,0.612048328,0.642559870,1,0,0,0.000000000,0.065178153,0.012904692,0.177240361,-0.008766211,-0.019085953,0.018202689,0.859368997,12.121354552,-0.543130760,-130.913523150,-0.111034785,142.885638277,44.738200925,-0.000448978,0.000184920,0.000030868,-0.000036980,-0.000059517,-0.000004441,-0.000964008,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000122877,-0.000000241,0.000121644,0.000000015,-0.000042350,-0.000000047,0.000029892,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.160770740,-0.039496010,-0.079492492,0.106552783,0.460444521,0.357789012,0.011211764
