run_time_s,segment_id,phase_time_s,event,sigma_min,sigma_rate_per_s,sigma_plus,sigma_minus,probe_difference,probe_confidence,gradient_abs_per_rad,direction_valid,push_active,k_sigma_Nm,alpha_rad,tau_sigma_norm_Nm,sigma_power_W,nullspace_speed_rad_s,speed_toward_better_rad_s,peak_nullspace_speed_rad_s,peak_abs_speed_toward_better_rad_s,min_speed_toward_better_rad_s,max_speed_toward_better_rad_s,raw_joint_speed_rad_s,nullspace_speed_fraction,raw_velocity_dominant_joint,raw_velocity_dominant_share_pct,sigma_dominant_joint,sigma_dominant_share_pct,position_error_mm,rotation_error_deg,peak_position_error_mm,peak_rotation_error_deg,cartesian_speed_mm_s,angular_speed_deg_s,command_force_norm_N,command_moment_norm_Nm,tau_task_norm_Nm,tau_nullspace_norm_Nm,tau_cmd_norm_Nm,nullspace_damping_Nms_rad,disturbance_scale,disturbance_force_norm_N,disturbance_tau_norm_Nm,disturbance_torque_scale,external_force_delta_norm_N,external_moment_delta_norm_Nm,external_joint_torque_delta_norm_Nm,external_joint_torque_along_nbest_Nm,peak_external_force_delta_norm_N,peak_external_moment_delta_norm_Nm,peak_external_joint_torque_delta_norm_Nm,external_joint_torque_baseline_valid,joint_contact,cartesian_contact,Jn_norm,e_p_x_mm,e_p_y_mm,e_p_z_mm,e_R_x_deg,e_R_y_deg,e_R_z_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,dq7_rad_s,n_best_1,n_best_2,n_best_3,n_best_4,n_best_5,n_best_6,n_best_7,dqN_1_rad_s,dqN_2_rad_s,dqN_3_rad_s,dqN_4_rad_s,dqN_5_rad_s,dqN_6_rad_s,dqN_7_rad_s,tau_sigma_1_Nm,tau_sigma_2_Nm,tau_sigma_3_Nm,tau_sigma_4_Nm,tau_sigma_5_Nm,tau_sigma_6_Nm,tau_sigma_7_Nm,tau_ext_delta_1_Nm,tau_ext_delta_2_Nm,tau_ext_delta_3_Nm,tau_ext_delta_4_Nm,tau_ext_delta_5_Nm,tau_ext_delta_6_Nm,tau_ext_delta_7_Nm
0.000000000,0,0.000000000,hold_start,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.862232963,12.103505977,-0.541127268,-130.911909067,-0.126806918,142.885893735,44.739483153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,0,0.000000000,sample,0.216507862,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000269930,0.000000000,0.000269930,0.000000000,0.000000000,0.000000000,0.003304856,0.081676703,2,51.471824341,0,0.000000000,0.118238275,0.006837721,0.118238275,0.006837721,2.161168743,0.248084240,0.181757904,0.031864144,0.152340881,0.000539860,0.152338605,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.257634290,0.174607371,0.000000000,0.000000000,0.257634290,0.174607371,0.000000000,1,0,0,0.000000000,0.012313434,0.116561488,0.015559197,0.000965109,-0.002304098,0.006365071,0.850947576,12.104327519,-0.542217671,-130.913012519,-0.128014514,142.885525602,44.734457914,0.001662303,0.002371032,0.001458026,0.000109709,0.000186657,-0.000403851,-0.000448574,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000183766,0.000000359,-0.000181930,-0.000000026,0.000063248,0.000000081,-0.000044643,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.050000000,0,0.050000000,sample,0.216509859,0.000039951,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000005442,0.000000000,0.007478646,0.000000000,0.000000000,0.000000000,0.008105883,0.000671418,5,73.863364707,0,0.000000000,0.151993666,0.016086219,0.152245973,0.016086219,2.546953878,0.468209997,0.406263042,0.076816762,0.412806564,0.000010885,0.412799174,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.712143543,0.201060161,0.273741253,0.000000000,0.712143543,0.201060161,0.295065369,1,0,0,0.000000000,0.059269315,0.043145652,0.133145317,-0.002524788,-0.015053070,0.005079070,0.857850330,12.115983061,-0.541794533,-130.914521206,-0.122055716,142.885947577,44.735726599,-0.000410176,0.003528570,0.001759543,-0.000497160,0.006966504,-0.000207398,0.001080714,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000003705,-0.000000007,0.000003668,0.000000001,-0.000001276,-0.000000002,0.000000901,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.143669155,0.033248647,0.040477297,0.028028080,0.138939028,0.177266258,0.006050652
0.100000000,0,0.100000000,sample,0.216509632,-0.000004548,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000616117,0.000000000,0.004035169,0.000000000,0.000000000,0.000000000,0.001551946,0.396996466,1,40.491236779,0,0.000000000,0.180193080,0.023781458,0.184372883,0.024417175,0.591484858,0.037400568,0.341185772,0.015736843,0.285751963,0.001232234,0.285754830,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.929297378,0.402172551,0.497168593,0.000000000,0.933946379,0.402172551,0.497168593,1,0,0,0.000000000,0.067761470,0.023795940,0.165262465,-0.008598226,-0.018294049,0.012528211,0.859252580,12.119677689,-0.542178925,-130.914241680,-0.111735525,142.886138637,44.735958643,0.000987546,0.000174776,-0.000175009,0.000864771,-0.000210183,-0.000105280,0.000754339,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000419413,0.000000822,-0.000415204,-0.000000053,0.000144534,0.000000161,-0.000102018,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.186676446,0.017779488,-0.024391602,0.086523499,0.346500570,0.289473720,0.008570788
0.150000000,0,0.150000000,sample,0.216509776,0.000002876,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000006344,0.000000000,0.002260748,0.000000000,0.000000000,0.000000000,0.001362694,0.004655521,7,43.894414784,0,0.000000000,0.177467300,0.023706121,0.183430611,0.024074554,0.662177094,0.029049998,0.355332840,0.021728205,0.305601567,0.000012688,0.305600884,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.993244265,0.519255182,0.575980622,0.000000000,0.993244265,0.519255182,0.575980622,1,0,0,0.000000000,0.067405947,0.022882820,0.162565240,-0.008864572,-0.017999789,0.012625655,0.859360654,12.119312241,-0.542235506,-130.914354509,-0.111282390,142.886181685,44.735746771,-0.000750092,0.000225385,-0.000454875,0.000423023,0.000204487,0.000027058,-0.000902824,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000004319,-0.000000008,0.000004275,0.000000001,-0.000001488,-0.000000002,0.000001050,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.183608988,0.013666297,-0.032715218,0.119911809,0.425238762,0.318481160,0.012135413
0.200000000,0,0.200000000,sample,0.216509830,0.000001095,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000254803,0.000000000,0.001875910,0.000000000,0.000000000,0.000000000,0.000924849,0.275508195,4,44.126866704,0,0.000000000,0.185523301,0.024845294,0.188116285,0.024860635,0.371377989,0.045051099,0.385549243,0.025626387,0.342651819,0.000509607,0.342652369,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.034492266,0.529606467,0.611241796,0.000000000,1.079076498,0.549564039,0.611241796,1,0,0,0.000000000,0.070199473,0.027158255,0.169568153,-0.008977814,-0.018805426,0.013529355,0.859193240,12.120017206,-0.542544225,-130.914415490,-0.110966958,142.886140886,44.735928909,-0.000239786,-0.000096358,0.000338924,-0.000614359,0.000269355,-0.000159044,-0.000445431,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000173454,-0.000000340,0.000171713,0.000000022,-0.000059776,-0.000000066,0.000042192,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.226144183,0.018193934,-0.021324016,0.129436177,0.443937595,0.328273193,0.009592022
0.250000000,0,0.250000000,sample,0.216509795,-0.000000709,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000691947,0.000000000,0.001829021,0.000000000,0.000000000,0.000000000,0.002244469,0.308289979,4,36.218809395,0,0.000000000,0.175516948,0.023875188,0.187453432,0.024842480,0.530765963,0.116548410,0.363952409,0.034078383,0.329023076,0.001383894,0.329025557,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.008321785,0.552397713,0.601306314,0.000000000,1.037974415,0.552397713,0.614766122,1,0,0,0.000000000,0.067043182,0.019704756,0.161006626,-0.009132818,-0.017837956,0.012977810,0.859885927,12.119127672,-0.542463827,-130.914377716,-0.110760114,142.886181685,44.735983692,0.000341803,-0.000880739,-0.000844453,-0.001350768,0.000386194,0.000091706,0.001204109,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000471035,0.000000923,-0.000466309,-0.000000059,0.000162316,0.000000180,-0.000114569,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.185652326,0.009648259,-0.031907580,0.122011736,0.449420056,0.330171736,0.010615501
0.300000000,0,0.300000000,sample,0.216509671,-0.000002483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000744552,0.000000000,0.002328491,0.000000000,0.000000000,0.000000000,0.002105128,0.353684962,7,60.993686544,0,0.000000000,0.184725258,0.024974234,0.186106395,0.024987772,0.471959469,0.108750111,0.347654182,0.029625171,0.298782026,0.001489104,0.298786379,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.024245495,0.548686291,0.610054481,0.000000000,1.063294992,0.568072292,0.610054481,1,0,0,0.000000000,0.069593695,0.023466482,0.169497678,-0.009073017,-0.018796797,0.013713978,0.859685991,12.120091940,-0.542655245,-130.914292613,-0.110767005,142.886100087,44.736338113,0.000717161,-0.000150561,-0.000713258,0.000752187,0.000205730,-0.000273414,0.001644072,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000506842,0.000000994,-0.000501756,-0.000000063,0.000174669,0.000000193,-0.000123288,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.201439031,0.010054799,-0.017133204,0.130336244,0.449693869,0.334485781,0.010064357
0.350000000,0,0.350000000,sample,0.216509595,-0.000001514,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000048331,0.000000000,0.001626105,0.000000000,0.000000000,0.000000000,0.000692894,0.069752202,3,32.783865608,0,0.000000000,0.180749861,0.024537128,0.185686241,0.025014467,0.461081433,0.061000624,0.346496854,0.015806225,0.293082562,0.000096662,0.293082607,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.987075214,0.525496989,0.617550789,0.000000000,1.038607288,0.554637752,0.617771650,1,0,0,0.000000000,0.068071333,0.019671926,0.166282355,-0.009287635,-0.018429052,0.013273302,0.859766074,12.119802144,-0.542368118,-130.914213070,-0.110519476,142.886100836,44.736060694,0.000278430,-0.000189704,0.000396731,0.000347107,-0.000060118,-0.000121578,-0.000265172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000032901,-0.000000064,0.000032570,0.000000004,-0.000011338,-0.000000013,0.000008003,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.223983765,-0.005439842,-0.023114439,0.127286533,0.449406095,0.335299609,0.006546279
0.400000000,0,0.400000000,sample,0.216509425,-0.000003410,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000047346,0.000000000,0.001087261,0.000000000,0.000000000,0.000000000,0.000783713,0.060412167,4,37.394034402,0,0.000000000,0.179112299,0.024277918,0.183077254,0.024792069,0.149029956,0.012233803,0.357020345,0.022619594,0.310104156,0.000094692,0.310104077,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.055238010,0.564623685,0.609111747,0.000000000,1.061248802,0.564623685,0.616615491,1,0,0,0.000000000,0.066915073,0.017356729,0.165234175,-0.009267512,-0.018278237,0.013016780,0.860018524,12.119789111,-0.542368118,-130.914074657,-0.110554437,142.886100087,44.736084835,0.000130263,0.000330092,0.000089708,0.000479246,-0.000074803,-0.000347668,0.000352257,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000032230,-0.000000063,0.000031907,0.000000004,-0.000011107,-0.000000012,0.000007840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.189182654,0.022400080,-0.034560277,0.127937172,0.451985261,0.335812787,0.010101687
