run_time_s,segment_id,phase_time_s,event,sigma_min,sigma_rate_per_s,sigma_plus,sigma_minus,probe_difference,probe_confidence,gradient_abs_per_rad,direction_valid,push_active,k_sigma_Nm,alpha_rad,tau_sigma_norm_Nm,sigma_power_W,nullspace_speed_rad_s,speed_toward_better_rad_s,peak_nullspace_speed_rad_s,peak_abs_speed_toward_better_rad_s,min_speed_toward_better_rad_s,max_speed_toward_better_rad_s,raw_joint_speed_rad_s,nullspace_speed_fraction,raw_velocity_dominant_joint,raw_velocity_dominant_share_pct,sigma_dominant_joint,sigma_dominant_share_pct,position_error_mm,rotation_error_deg,peak_position_error_mm,peak_rotation_error_deg,cartesian_speed_mm_s,angular_speed_deg_s,command_force_norm_N,command_moment_norm_Nm,tau_task_norm_Nm,tau_nullspace_norm_Nm,tau_cmd_norm_Nm,nullspace_damping_Nms_rad,disturbance_scale,disturbance_force_norm_N,disturbance_tau_norm_Nm,disturbance_torque_scale,external_force_delta_norm_N,external_moment_delta_norm_Nm,external_joint_torque_delta_norm_Nm,external_joint_torque_along_nbest_Nm,peak_external_force_delta_norm_N,peak_external_moment_delta_norm_Nm,peak_external_joint_torque_delta_norm_Nm,external_joint_torque_baseline_valid,joint_contact,cartesian_contact,Jn_norm,e_p_x_mm,e_p_y_mm,e_p_z_mm,e_R_x_deg,e_R_y_deg,e_R_z_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,dq7_rad_s,n_best_1,n_best_2,n_best_3,n_best_4,n_best_5,n_best_6,n_best_7,dqN_1_rad_s,dqN_2_rad_s,dqN_3_rad_s,dqN_4_rad_s,dqN_5_rad_s,dqN_6_rad_s,dqN_7_rad_s,tau_sigma_1_Nm,tau_sigma_2_Nm,tau_sigma_3_Nm,tau_sigma_4_Nm,tau_sigma_5_Nm,tau_sigma_6_Nm,tau_sigma_7_Nm,tau_ext_delta_1_Nm,tau_ext_delta_2_Nm,tau_ext_delta_3_Nm,tau_ext_delta_4_Nm,tau_ext_delta_5_Nm,tau_ext_delta_6_Nm,tau_ext_delta_7_Nm
0.000000000,0,0.000000000,hold_start,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.863161414,12.104288804,-0.540118294,-130.914783088,-0.127197897,142.885903232,44.745955585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,0,0.000000000,sample,0.216510996,,0.215815628,0.216206070,0.000390443,390.442848411,0.002440268,1,1,1.500000000,0.080000000,1.500000000,0.001562277,0.001041518,0.001041518,0.001041518,0.001041518,0.000000000,0.001041518,0.002765301,0.376638305,4,68.064193922,1,46.346974535,0.117628942,0.003613628,0.117628942,0.003613628,1.811538669,0.170223543,0.256198870,0.026772403,0.228266354,1.500000000,1.517269467,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.233282391,0.094421049,0.000000000,0.000000000,0.233282391,0.094421049,0.000000000,1,0,0,0.000000000,0.013462100,0.113836137,0.026394578,0.000957155,-0.003346458,-0.000971277,0.852056877,12.106565954,-0.541094676,-130.915501258,-0.128427819,142.885586639,44.733905035,-0.000284031,0.000874414,0.000963418,-0.002281402,-0.000351708,0.000193273,0.000712458,-0.680786123,-0.001326810,0.673976505,0.000098462,-0.234353175,-0.000300551,0.165416607,-0.000709051,-0.000001382,0.000701959,0.000000103,-0.000244083,-0.000000313,0.000172284,-1.021179185,-0.001990215,1.010964758,0.000147693,-0.351529762,-0.000450827,0.248124910,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.050000000,0,0.050000000,sample,0.216513448,0.000049056,0.215826498,0.216200739,0.000374240,374.240453571,0.002339003,1,1,1.500000000,0.080000000,1.500000000,0.025982037,0.017321358,0.017321358,0.017321358,0.017321358,-0.002143122,0.017321358,0.018172810,0.953146936,1,54.434103787,1,46.342123657,0.131694527,0.014778577,0.132468739,0.014927727,0.793532287,0.204971055,0.299353736,0.035972355,0.271960680,1.500000000,1.524466617,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.675451964,0.256166180,0.320090460,0.061877803,0.703431065,0.271309335,0.330057412,1,0,0,0.000000000,0.048176014,0.019181251,0.121056185,-0.004780436,-0.013391319,-0.004028193,0.838247392,12.116277002,-0.518301950,-130.916225085,-0.126582944,142.886036439,44.737850453,-0.013407803,0.001750165,0.012111536,0.000701564,0.000131601,-0.000259176,0.000390876,-0.680750495,-0.001271253,0.673921820,0.000097120,-0.234527244,-0.000296452,0.165539732,-0.011791523,-0.000022020,0.011673241,0.000001682,-0.004062330,-0.000005135,0.002867373,-1.021125743,-0.001906880,1.010882729,0.000145680,-0.351790866,-0.000444678,0.248309598,-0.120503052,0.209493533,0.003528289,-0.063626686,0.098852311,0.173729959,0.005890192
0.100000000,0,0.100000000,sample,0.216516683,0.000064702,0.215845299,0.216188751,0.000343452,343.452118501,0.002146576,1,1,1.500000000,0.080000000,1.500000000,0.035693876,0.023795918,0.023795918,0.032847184,0.032847184,0.000000000,0.032847184,0.025613836,0.929025913,3,63.604200422,1,46.340018843,0.215579346,0.065926408,0.215579346,0.065940614,4.761243830,0.245471019,0.608349625,0.079284580,0.440271210,1.500000000,1.563303113,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.712150890,0.235112369,0.382087986,0.137462106,0.720961167,0.461028589,0.501130408,1,0,0,0.000000000,0.064822396,-0.123694597,0.164232025,-0.013888285,-0.017758274,0.061952002,0.807329623,12.120599958,-0.474060947,-130.916619619,-0.126455139,142.886269444,44.816068071,-0.012413422,0.000144294,0.020427609,-0.000688139,-0.000320308,0.001220952,0.009088492,-0.680735035,-0.001161318,0.673897659,0.000097053,-0.234603836,-0.000296248,0.165593936,-0.016198715,-0.000027635,0.016036013,0.000002309,-0.005582614,-0.000007049,0.003940460,-1.021102553,-0.001741977,1.010846488,0.000145580,-0.351905754,-0.000444372,0.248390904,-0.151283012,0.113676992,0.091821772,-0.030461129,0.134943443,0.286150494,0.027041904
0.150000000,0,0.150000000,sample,0.216519662,0.000059572,0.215867631,0.216172438,0.000304807,304.806758884,0.001905042,1,1,1.500000000,0.080000000,1.500000000,0.037872844,0.025248563,0.025248563,0.031372396,0.031372396,0.000000000,0.031372396,0.026362666,0.957739371,3,56.001728088,1,46.340218084,0.295060804,0.091015768,0.295060804,0.091015768,2.640866393,0.336081715,0.706721175,0.122505319,0.486318713,1.500000000,1.576891662,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.812007745,0.282637984,0.434705572,0.171276026,0.815155959,0.287087264,0.436181078,1,0,0,0.000000000,0.062749955,-0.239265160,0.160858646,-0.025519436,-0.017105049,0.085674067,0.761453275,12.120268892,-0.418362700,-130.916500053,-0.126438185,142.886539319,44.848360244,-0.015716784,0.000098079,0.019728317,-0.000328531,0.000055629,0.000136512,0.007656831,-0.680736499,-0.001022339,0.673899721,0.000097038,-0.234597530,-0.000296199,0.165589376,-0.017187618,-0.000025813,0.017014999,0.000002450,-0.005923250,-0.000007479,0.004180894,-1.021104748,-0.001533508,1.010849582,0.000145556,-0.351896295,-0.000444298,0.248384064,-0.227819132,0.142797184,0.059933598,0.006500235,0.136868489,0.303131877,0.049194858
0.200000000,0,0.200000000,sample,0.216522513,0.000057020,0.215888943,0.216156967,0.000268024,268.023958163,0.001675150,1,1,1.500000000,0.080000000,1.500000000,0.046947114,0.031298076,0.031298076,0.031298076,0.031298076,0.000000000,0.031298076,0.032711895,0.956779666,1,59.283207788,1,46.339815200,0.251603146,0.108555284,0.299005081,0.108555284,1.779343729,0.374842221,0.448243714,0.144502236,0.377707132,1.500000000,1.546857691,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.751908021,0.212786364,0.422397281,0.175633649,0.967267460,0.280471334,0.506655025,1,0,0,0.000000000,0.067873493,-0.170187250,0.172434428,-0.036581242,-0.018575492,0.100503799,0.698510441,12.121263145,-0.365365614,-130.916707437,-0.126507173,142.886406515,44.852118727,-0.025186716,-0.000147934,0.020869237,-0.000102024,-0.000168693,-0.000152450,0.000297238,-0.680733540,-0.000890182,0.673894595,0.000097097,-0.234613391,-0.000296381,0.165600695,-0.021305650,-0.000027861,0.021091604,0.000003039,-0.007342948,-0.000009276,0.005182983,-1.021100309,-0.001335274,1.010841892,0.000145646,-0.351920086,-0.000444572,0.248401042,-0.171028957,0.109549291,0.121904753,0.023931379,0.138305684,0.314926197,0.058541097
0.250000000,0,0.250000000,sample,0.216525105,0.000051844,0.215913612,0.216137506,0.000223894,223.893700241,0.001399336,1,1,1.500000000,0.080000000,1.500000000,0.042170318,0.028113546,0.028113546,0.038802623,0.038802623,0.000000000,0.038802623,0.029963468,0.938260739,1,66.190019601,1,46.340245211,0.198744081,0.127043937,0.251299501,0.127043937,3.380276050,0.449779638,0.394920912,0.173354777,0.466827185,1.500000000,1.570993155,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.795908790,0.274769642,0.445187462,0.178394169,0.837770865,0.351320934,0.489625991,1,0,0,0.000000000,0.064537913,-0.088930536,0.165606241,-0.050004062,-0.017848689,0.115417417,0.623127845,12.120510528,-0.301772105,-130.916623723,-0.126403298,142.886454143,44.853745343,-0.024377453,0.000525438,0.017370635,-0.000825225,0.000190166,-0.000283046,-0.000858411,-0.680736698,-0.000731500,0.673899177,0.000097011,-0.234598878,-0.000296119,0.165590403,-0.019137922,-0.000020565,0.018945695,0.000002727,-0.006595406,-0.000008325,0.004655333,-1.021105047,-0.001097251,1.010848765,0.000145517,-0.351898317,-0.000444179,0.248385604,-0.232000291,0.123189943,0.066347501,0.020686215,0.144269617,0.316324132,0.059054132
0.300000000,0,0.300000000,sample,0.216526839,0.000034683,0.215931123,0.216123535,0.000192412,192.412159711,0.001202576,1,1,1.500000000,0.080000000,1.500000000,0.031575210,0.021050140,0.021050140,0.034116996,0.034116996,0.000000000,0.034116996,0.022752994,0.925159138,1,75.497125026,1,46.340061053,0.185040534,0.141251917,0.197425953,0.141435614,4.357569462,0.549165229,0.379106287,0.197756937,0.538724354,1.500000000,1.593818395,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.837030355,0.180517803,0.433210321,0.159828452,0.869107887,0.299819454,0.457788068,1,0,0,0.000000000,0.066978409,-0.019944526,0.171336243,-0.059504790,-0.018628269,0.126744908,0.568179131,12.120991738,-0.256405852,-130.916719581,-0.126431654,142.886353381,44.854502610,-0.019769867,-0.001552751,0.011139296,-0.000387360,-0.000063032,-0.000159555,0.000420298,-0.680735345,-0.000618343,0.673896800,0.000097036,-0.234606241,-0.000296196,0.165595664,-0.014329574,-0.000013016,0.014185622,0.000002043,-0.004938494,-0.000006235,0.003485812,-1.021103018,-0.000927514,1.010845201,0.000145554,-0.351909361,-0.000444294,0.248393497,-0.075067167,0.136553627,0.196321444,0.024070356,0.141103236,0.317681266,0.058619180
0.350000000,0,0.350000000,sample,0.216527569,0.000014583,0.215942793,0.216113345,0.000170552,170.551913384,0.001065949,1,1,1.500000000,0.080000000,1.500000000,0.022689637,0.015126425,0.015126425,0.020950847,0.020950847,0.000000000,0.020950847,0.016891801,0.895489191,3,79.219435090,1,46.340038433,0.186868390,0.145307984,0.189029770,0.145541873,4.384064137,0.459415682,0.452022226,0.101864569,0.341618159,1.500000000,1.538418642,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.757546296,0.208696049,0.416937039,0.149893702,0.897713807,0.344389580,0.484896277,1,0,0,0.000000000,0.064863830,-0.042714482,0.169964560,-0.066138463,-0.018332260,0.128078265,0.537638321,12.120996307,-0.224906359,-130.916500052,-0.126396433,142.886501520,44.856066048,-0.007629013,-0.000564141,0.015034598,0.000393019,0.000527127,0.000367258,-0.000454415,-0.680735179,-0.000539764,0.673896963,0.000097009,-0.234606443,-0.000296113,0.165595675,-0.010297090,-0.000008165,0.010193652,0.000001467,-0.003548757,-0.000004479,0.002504871,-1.021102769,-0.000809646,1.010845444,0.000145514,-0.351909665,-0.000444169,0.248393512,-0.157075763,0.106711316,0.100509380,0.021323964,0.146772850,0.319628312,0.059287602
0.400000000,0,0.400000000,sample,0.216527967,0.000007973,0.215950961,0.216105990,0.000155028,155.028411319,0.000968928,1,1,1.500000000,0.080000000,1.500000000,0.018358594,0.012239063,0.012239063,0.014904766,0.014904766,0.000000000,0.014904766,0.012619176,0.969878146,3,60.724097406,1,46.340020217,0.214218695,0.144379278,0.216887955,0.145794816,1.362264346,0.165557352,0.477434490,0.114532331,0.369709794,1.500000000,1.544898090,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.847644993,0.250676781,0.434529228,0.140159763,0.849008682,0.301197414,0.456115431,1,0,0,0.000000000,0.063421670,-0.115752186,0.168726916,-0.070743303,-0.018101840,0.124551533,0.522072179,12.120996288,-0.202508916,-130.916307220,-0.126548725,142.886583115,44.858994160,-0.007680777,0.001019261,0.009833577,0.000436781,-0.001349815,0.000575878,0.000408317,-0.680735045,-0.000483862,0.673897160,0.000097126,-0.234606455,-0.000296469,0.165595576,-0.008331559,-0.000005922,0.008247870,0.000001189,-0.002871363,-0.000003629,0.002026735,-1.021102568,-0.000725793,1.010845741,0.000145689,-0.351909683,-0.000444703,0.248393364,-0.186226710,0.141701161,0.056856729,0.023679947,0.149824380,0.322308184,0.062711286
