time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,p_CoC_x,p_CoC_y,p_CoC_z,r_eff_x,r_eff_y,r_eff_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,angular_deviation_t1_deg,angular_deviation_t2_deg,angular_deviation_normal_deg,angular_deviation_deg,t_align,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
0.000000000,0,0.531345795,0.002414512,0.156837211,0.531342843,0.002381401,0.156802451,0.512020161,-0.057887678,0.137086545,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531345795,0.002414512,0.156837211,-0.019325634,-0.060302190,-0.019750666,-0.000002952,-0.000033110,-0.000034760,0.000003637,0.000043558,-0.000071047,-1.795744995,2.350423781,0.000000000,2.957903318,-1.000000000,-0.000454040,0.000214672,0.000627956,0.000000000,0.000000000,0.000000000,-0.000215013,-0.000507944,-0.000562181,0.060299284,-0.025791772,-0.086018640,0.003922662,0.020359049,-0.005741144,-3.247102301,0.949481643,4.077954848,-1.446545428,-2.618921643,0.412620627,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.781669843,-0.032379363,0.444060166,0.064040950,-0.498498338,-0.002878769,0.000000000,3,0.999885264,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.700230355,0.054127202,0.654665631,-0.025194217,-0.229101394,-0.015516549,0.171255414
0.001000000,0,0.531342880,0.002413964,0.156835684,0.531342843,0.002381401,0.156802451,0.512017107,-0.057888195,0.137085062,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531342880,0.002413964,0.156835684,-0.019325773,-0.060302159,-0.019750622,-0.000000038,-0.000032563,-0.000033233,0.000336977,0.000136635,-0.000098240,-1.795782341,2.350174600,-0.000000000,2.957727990,-1.000000000,-0.001333538,-0.000198090,-0.000214753,0.000000000,0.000000000,0.000000000,0.000079562,0.001523926,-0.000986192,0.178205084,0.013983909,0.022629763,0.059358960,-0.013926771,-0.006714794,-3.260827203,0.924740681,4.071724241,-1.436295053,-2.621989804,0.400031673,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.795394746,-0.057120325,0.437829559,0.074291325,-0.501566499,-0.015467723,0.000000000,3,0.997765731,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.678906367,-0.059564876,0.685496568,0.106433273,-0.192350262,0.053572486,0.171850326
0.002000000,0,0.531342743,0.002411579,0.156835749,0.531342843,0.002381401,0.156802451,0.512016811,-0.057890502,0.137085043,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531342743,0.002411579,0.156835749,-0.019325932,-0.060302081,-0.019750706,0.000000100,-0.000030178,-0.000033298,0.000669457,0.000233631,-0.000123841,-1.795866715,2.350150384,0.000000000,2.957759978,-1.000000000,-0.001214923,-0.000606828,-0.001646345,0.000000000,0.000000000,0.000000000,0.004592585,0.003904185,-0.008077909,0.162239699,0.054213669,0.206675283,0.048530154,-0.060440668,0.007231586,-3.275115993,0.914591746,4.076191704,-1.430346544,-2.630504848,0.395168367,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.809683535,-0.067269260,0.442297022,0.080239834,-0.510081543,-0.020331029,0.000000000,3,1.001643314,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.646187792,-0.201007348,0.721552736,0.216308921,-0.208735789,0.112858633,0.158728018
0.003000000,0,0.531340812,0.002411269,0.156836562,0.531342843,0.002381401,0.156802451,0.512014949,-0.057890851,0.137085907,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531340812,0.002411269,0.156836562,-0.019325863,-0.060302120,-0.019750655,0.000002031,-0.000029867,-0.000034111,0.001003624,0.000328906,-0.000153769,-1.795860307,2.350026565,0.000000000,2.957657705,-1.000000000,-0.002707772,0.000109762,-0.002365806,0.000000000,0.000000000,0.000000000,0.001851965,0.007563686,-0.002093744,0.361988310,-0.012600646,0.298039851,0.152065575,-0.130974313,-0.006722557,-3.292117012,0.915478174,4.097655608,-1.427629839,-2.648324355,0.396188336,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.826684554,-0.066382832,0.463760926,0.082956539,-0.527901050,-0.019311060,0.000000000,3,0.998466426,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.693961173,-0.356616986,0.689433912,0.415713834,-0.138578529,0.234031106,0.172123559
0.004000000,0,0.531341840,0.002406543,0.156837198,0.531342843,0.002381401,0.156802451,0.512014987,-0.057895262,0.137086551,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531341840,0.002406543,0.156837198,-0.019326853,-0.060301805,-0.019750648,0.000001003,-0.000025141,-0.000034747,0.001338160,0.000427561,-0.000165026,-1.795807566,2.350101119,-0.000000000,2.957684920,-1.000000000,-0.002509011,-0.000720738,-0.002557111,0.000000000,0.000000000,0.000000000,0.002871102,0.008411646,0.000996192,0.335249427,0.066560233,0.323288247,0.197397251,-0.132444946,-0.014028994,-3.308225265,0.921731538,4.132629895,-1.426390265,-2.672582377,0.400012978,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.842792807,-0.060129468,0.498735213,0.084196113,-0.552159071,-0.015486418,0.000000000,3,1.000011981,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.660185290,-0.367658746,0.736956967,0.414865262,-0.101339465,0.232520114,0.179576479
0.005000000,0,0.531339441,0.002409329,0.156833272,0.531342843,0.002381401,0.156802451,0.512012767,-0.057892552,0.137082683,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531339441,0.002409329,0.156833272,-0.019326674,-0.060301881,-0.019750590,0.000003401,-0.000027927,-0.000030821,0.001669963,0.000515093,-0.000199325,-1.795942604,2.349532493,0.000000000,2.957315129,-1.000000000,-0.001416917,0.001423965,-0.002294538,0.000000000,0.000000000,0.000000000,0.002769184,0.004041957,0.004124371,0.189677420,-0.136231643,0.288269840,0.259411755,-0.005345138,-0.027034363,-3.321829059,0.927333873,4.172565055,-1.424650396,-2.698570360,0.403491067,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.856396601,-0.054527133,0.538670373,0.085935982,-0.578147055,-0.012008329,0.000000000,3,1.004110784,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.783398250,-0.196709356,0.628008742,0.205854367,-0.065858490,0.071737699,0.192681608
0.006000000,0,0.531338929,0.002407253,0.156831789,0.531342843,0.002381401,0.156802451,0.512012091,-0.057894566,0.137081171,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531338929,0.002407253,0.156831789,-0.019326838,-0.060301819,-0.019750618,0.000003913,-0.000025852,-0.000029338,0.002002722,0.000610100,-0.000225482,-1.796011761,2.349394373,0.000000000,2.957247397,-1.000000000,-0.001737820,-0.000328920,-0.002683023,0.000000000,0.000000000,0.000000000,0.002321895,0.005648523,0.002012220,0.232603557,0.029647190,0.339954437,0.325710049,-0.029727826,-0.024916766,-3.333962878,0.928205451,4.210742177,-1.421041471,-2.723351198,0.404475233,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.868530420,-0.053655555,0.576847495,0.089544908,-0.602927892,-0.011024163,0.000000000,3,1.002234841,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.691961055,-0.257508339,0.734797298,0.271088898,-0.017886348,0.110462504,0.190166966
0.007000000,0,0.531337349,0.002406179,0.156826001,0.531342843,0.002381401,0.156802451,0.512009966,-0.057895438,0.137075298,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531337349,0.002406179,0.156826001,-0.019327384,-0.060301617,-0.019750703,0.000005494,-0.000024778,-0.000023549,0.002331878,0.000696735,-0.000248069,-1.796282698,2.348777449,-0.000000000,2.956921885,-1.000000000,-0.002282158,-0.001761707,-0.003606198,0.000000000,0.000000000,0.000000000,-0.002126129,0.007745028,0.006770772,0.305504357,0.165711611,0.460557792,0.454181057,-0.063533019,-0.037066762,-3.343184204,0.930055945,4.245427231,-1.417038319,-2.745709541,0.406039372,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.877751746,-0.051805061,0.611532549,0.093548059,-0.625286236,-0.009460024,0.000000000,3,0.991340332,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.624568315,-0.370459353,0.817831643,0.386451214,0.079246665,0.171294509,0.200300830
0.008000000,0,0.531334670,0.002409038,0.156820106,0.531342843,0.002381401,0.156802451,0.512006907,-0.057892518,0.137069589,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531334670,0.002409038,0.156820106,-0.019327763,-0.060301556,-0.019750517,0.000008173,-0.000027637,-0.000017655,0.002664985,0.000781736,-0.000273942,-1.796331601,2.348066114,0.000000000,2.956386595,-1.000000000,-0.002943340,-0.000164170,-0.004518504,0.000000000,0.000000000,0.000000000,-0.001736032,0.009919362,0.005153265,0.394195096,0.015580249,0.576914297,0.507838945,-0.103597095,-0.035354734,-3.347541516,0.935829721,4.279166453,-1.413526706,-2.766420009,0.409664896,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.882109058,-0.046031285,0.645271771,0.097059673,-0.645996704,-0.005834500,0.000000000,3,0.990939024,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702574692,-0.488375497,0.746440172,0.512520283,0.101576963,0.240336270,0.198518467
0.009000000,0,0.531336794,0.002410225,0.156821650,0.531342843,0.002381401,0.156802451,0.512009330,-0.057891371,0.137070965,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,0.531342843,0.002381401,0.156802451,-0.020000000,0.060000000,0.020000000,0.531336794,0.002410225,0.156821650,-0.019327464,-0.060301597,-0.019750685,0.000006049,-0.000028824,-0.000019199,0.002998148,0.000885209,-0.000305010,-1.796384256,2.348411798,0.000000000,2.956693148,-1.000000000,-0.002069854,0.000946927,-0.003120634,0.000000000,0.000000000,0.000000000,-0.001491933,0.006945486,0.006184675,0.277264158,-0.090629934,0.396382720,0.564323462,-0.009879301,-0.042867655,-3.344885982,0.936296149,4.308245694,-1.408085441,-2.783022314,0.410372571,-2.465432458,0.981861006,3.633894682,-1.510586378,-2.120423305,0.415499396,-0.879453524,-0.045564857,0.674351012,0.102500937,-0.662599009,-0.005126825,0.000000000,3,0.987405164,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.763838589,-0.278675860,0.690295520,0.294679971,0.136586983,0.106398844,0.204993615
