
==============================================================================
  SURFACE GRINDING CONTROLLER
==============================================================================
  robot              172.16.0.2
  parameters         /home/hm-panda/Desktop/Thesis_Final_Control/surface_grinding_controller/params
------------------------------------------------------------------------------

==============================================================================
  SURFACE GRINDING CONTROLLER - STARTUP MENU
==============================================================================

-- RUN MODES -----------------------------------------------------------------
  s      Run orientation, approach, setup, and grinding
  h      Cartesian pose hold at the initial posture
  t      Cartesian pose hold with the setup impedance
  g      Start manual guidance from the current robot pose

-- ROBOT PREPARATION ---------------------------------------------------------
  i      Move to the configured initial joint posture

-- GRIPPER AND TOOL ----------------------------------------------------------
  o      Open the gripper
  c      Grasp the tool
  r      Recalibrate the gripper with empty fingers
  f      Pick up the tool from the holder
  b      Return the tool to the holder

-- PROGRAM -------------------------------------------------------------------
  e      Exit
------------------------------------------------------------------------------
  During control: e = stop | m = startup menu | g = guidance
------------------------------------------------------------------------------
Selection [s/h/t/g/i/o/c/r/f/b/e]: 
-- moving to q_init ----------------------------------------------------------
  case               saved_qinit
  q1..q7 [deg]     = [0.8, 12.1, -0.5, -130.9, -0.2, 142.9, 44.7] deg
  saved_qinit = [0.014777, 0.210911, -0.009320, -2.284835, -0.002725, 2.493410, 0.780694] rad
  q_init reached.

-- SELECTED MODE: SETUP-IMPEDANCE HOLD ---------------------------------------
  spring             decoupled setup impedance
  nullspace          off, from nullspace.conf

-- start pose ----------------------------------------------------------------
  q_start          = [0.8, 12.1, -0.5, -130.9, -0.2, 142.8, 44.7] deg
  p_start          = [    531.1,       2.4,     157.0] mm

==============================================================================
  RUN
==============================================================================

-- phase: hold ---------------------------------------------------------------

-- setup impedance -----------------------------------------------------------
  law                f = Kp*e_p + Dp*de,  m = KR*e_R + DR*dw (decoupled)
  Kp [t1,t2,n]     = [   2000.0,    2000.0,    1000.0] N/m
  Dp [t1,t2,n]     = [     10.0,      10.0,     175.0] Ns/m
  KR [t1,t2,n]     = [     15.0,       5.0,      50.0] Nm/rad
  DR [t1,t2,n]     = [     10.0,      10.0,      10.0] Nms/rad
  tilt for s       = [     10.0,       0.0,      90.0] deg      about [t1,t2,n], commanded by the next sequence
  keys               kp1..kp3 <N/m> | kr1..kr3 <Nm/rad> | t1,t2 <deg>
                     s runs the sequence with them | t comes back here
hold:       t=  0.0 s | force=  1.0 N | pos_err=  0.2 mm | rot_err=  0.0 deg
hold:       t=  0.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  0.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  0.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  0.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  1.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  1.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  1.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  1.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  1.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  2.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  2.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  2.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  2.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  2.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  3.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  3.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  3.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  3.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  3.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  4.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  4.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  4.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  4.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  4.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
