time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,alignment_error_t1_deg,alignment_error_t2_deg,alignment_error_normal_deg,alignment_angle_deg,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
0.000000000,0,0.531357918,0.002485301,0.156891894,0.531360098,0.002489308,0.156868080,0.512039376,-0.057818740,0.137139943,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000002180,0.000004007,-0.000023813,-0.000002536,0.000020871,0.000005557,-1.794920861,2.357122675,-0.000000000,2.962729856,-0.000114864,0.000095621,0.000429313,0.000000000,0.000000000,0.000000000,0.000031522,-0.000511724,-0.001544697,0.015719430,-0.008816015,-0.058747368,-0.001882815,0.021454956,0.003130744,-2.279662615,0.099581470,3.667028398,-0.885151649,-2.013757198,0.080271052,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.775129359,-0.303717531,0.610756167,0.125227307,-0.583815642,-0.149681084,0.000000000,3,0.999545105,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.682025031,0.048609299,0.671476179,-0.036621645,-0.238504874,-0.023597878,0.162256688
0.001000000,0,0.531355286,0.002481059,0.156889716,0.531360098,0.002489308,0.156868080,0.512036277,-0.057822877,0.137137900,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000004811,0.000008249,-0.000021636,0.000331612,0.000112427,-0.000017124,-1.794898832,2.356770747,0.000000000,2.962436526,-0.000945776,-0.001189546,-0.000412068,0.000000000,0.000000000,0.000000000,-0.000105948,0.001661322,-0.002629633,0.127091680,0.113734807,0.050651366,0.100816935,-0.022069314,0.003341461,-2.295857808,0.104959772,3.667506767,-0.886349149,-2.020864214,0.083330390,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.791324552,-0.298339229,0.611234536,0.124029807,-0.590922657,-0.146621746,0.000000000,3,0.998282026,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.616105469,-0.074502624,0.759997034,0.102028709,-0.169786167,0.053929328,0.161734396
0.002000000,0,0.531355699,0.002482696,0.156890769,0.531360098,0.002489308,0.156868080,0.512037114,-0.057821379,0.137138963,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000004398,0.000006612,-0.000022688,0.000666699,0.000213321,-0.000051527,-1.794838865,2.356951413,0.000000000,2.962543926,-0.001137337,-0.000239864,-0.001559419,0.000000000,0.000000000,0.000000000,-0.000952646,-0.002665057,0.001201051,0.152530153,0.025065683,0.196768753,0.219305685,0.151243470,-0.013281882,-2.307328045,0.113914906,3.674616781,-0.888438507,-2.029645189,0.088268724,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.802794790,-0.289384095,0.618344550,0.121940449,-0.599703632,-0.141683413,0.000000000,3,0.999956494,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.681048865,0.015112986,0.720696844,-0.002886780,-0.090396061,-0.100586029,0.177768016
0.003000000,0,0.531353983,0.002479406,0.156890505,0.531360098,0.002489308,0.156868080,0.512035241,-0.057824672,0.137138863,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000006115,0.000009902,-0.000022425,0.001002330,0.000307992,-0.000078346,-1.794737474,2.356777095,0.000000000,2.962343815,-0.003180617,-0.000998762,-0.004394072,0.000000000,0.000000000,0.000000000,-0.002598507,0.006428662,0.002972096,0.425626347,0.099750548,0.560980039,0.353208439,-0.112402074,-0.013975398,-2.312934898,0.123864778,3.699683446,-0.890437729,-2.045241383,0.093706639,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.808401642,-0.279434224,0.643411216,0.119941227,-0.615299826,-0.136245498,0.000000000,3,0.995518012,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.639702206,-0.492347303,0.784652053,0.529469006,-0.004658019,0.253544785,0.178282648
0.004000000,0,0.531354306,0.002479966,0.156891535,0.531360098,0.002489308,0.156868080,0.512035388,-0.057824039,0.137139841,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000005792,0.000009342,-0.000023454,0.001335484,0.000406025,-0.000103739,-1.794776016,2.356795822,-0.000000000,2.962382064,-0.002744956,-0.000510237,-0.002480629,0.000000000,0.000000000,0.000000000,-0.003186332,0.004509590,0.002515884,0.367525720,0.051821449,0.314938359,0.464677656,-0.021316950,-0.018895522,-2.313767940,0.133038246,3.743551396,-0.891727959,-2.068603598,0.098684869,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.809234684,-0.270260755,0.687279166,0.118650997,-0.638662041,-0.131267267,0.000000000,3,0.995967420,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.670261791,-0.261804070,0.777595098,0.317097012,0.063728027,0.129414052,0.182701460
0.005000000,0,0.531353041,0.002482786,0.156887622,0.531360098,0.002489308,0.156868080,0.512034245,-0.057821273,0.137135975,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000007057,0.000006522,-0.000019542,0.001667773,0.000496333,-0.000136615,-1.794874362,2.356370003,0.000000000,2.962102896,-0.002106709,0.000592036,-0.002503202,0.000000000,0.000000000,0.000000000,-0.002153862,0.005151619,0.003676121,0.282408973,-0.052464736,0.317440670,0.544408710,-0.013830964,-0.025108847,-2.310698050,0.138343480,3.788811331,-0.891481116,-2.091608806,0.101572634,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.806164794,-0.264955521,0.732539101,0.118897840,-0.661667250,-0.128379503,0.000000000,3,0.999794842,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.734295930,-0.241573133,0.733060333,0.270838310,0.109867767,0.104593153,0.189331811
0.006000000,0,0.531351548,0.002480473,0.156882281,0.531360098,0.002489308,0.156868080,0.512031975,-0.057823351,0.137130678,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000008550,0.000008834,-0.000014200,0.001999904,0.000586186,-0.000154714,-1.794961732,2.355921986,-0.000000000,2.961799457,-0.001938824,-0.000770501,-0.002053787,0.000000000,0.000000000,0.000000000,-0.001145216,0.004611710,-0.000458778,0.260231571,0.075874121,0.261888601,0.622879789,0.027160091,-0.020149350,-2.307000800,0.139281503,3.822749806,-0.889507401,-2.109168340,0.102143984,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.802467544,-0.264017499,0.766477575,0.120871555,-0.679226783,-0.127808153,0.000000000,3,1.000261223,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.661391342,-0.168664545,0.826383726,0.199002311,0.160360739,0.054895301,0.184125089
0.007000000,0,0.531353104,0.002482816,0.156879604,0.531360098,0.002489308,0.156868080,0.512033947,-0.057821119,0.137127930,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000006994,0.000006492,-0.000011524,0.002331957,0.000681855,-0.000190711,-1.795077758,2.355802462,0.000000000,2.961774704,-0.000002819,0.003570125,-0.001042229,0.000000000,0.000000000,0.000000000,0.000916050,0.001323093,0.008472126,0.001338884,-0.334517564,0.128607995,0.684562230,0.169704695,-0.045551215,-2.307032649,0.134063845,3.841015178,-0.885244346,-2.120677640,0.099519902,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.802499393,-0.269235157,0.784742947,0.125134610,-0.690736083,-0.130432235,0.000000000,3,0.992697334,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.899061884,0.090443016,0.582395137,-0.116980843,0.196591528,-0.154213345,0.207654084
0.008000000,0,0.531352343,0.002483516,0.156875285,0.531360098,0.002489308,0.156868080,0.512033159,-0.057820472,0.137123801,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000007754,0.000005792,-0.000007205,0.002666521,0.000771845,-0.000221214,-1.795042478,2.355358985,-0.000000000,2.961400589,0.000485444,0.003234313,-0.001187120,0.000000000,0.000000000,0.000000000,0.000429724,0.001309074,0.007622159,-0.063821784,-0.302835419,0.148204826,0.794363228,0.196567415,-0.048458186,-2.315537847,0.113973176,3.842482113,-0.876207301,-2.127094503,0.089095921,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.811004591,-0.289325826,0.786209882,0.134171655,-0.697152947,-0.140856216,0.000000000,3,0.995751186,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.887036332,0.116654590,0.622561233,-0.166082389,0.266096993,-0.192232138,0.210710084
0.009000000,0,0.531351515,0.002481374,0.156871707,0.531360098,0.002489308,0.156868080,0.512031844,-0.057822492,0.137120326,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,-0.020000000,0.060000000,0.020000000,0.000008583,0.000007934,-0.000003626,0.003000807,0.000865413,-0.000242926,-1.795011257,2.355123040,0.000000000,2.961194007,-0.000031167,0.001689149,-0.002338208,0.000000000,0.000000000,0.000000000,-0.000562307,0.000372064,0.004356211,0.005241955,-0.155802995,0.297818589,0.913296304,0.252225536,-0.046576667,-2.332616703,0.083519116,3.834479688,-0.863735429,-2.132028271,0.073198893,-1.504533256,0.403299002,3.056272231,-1.010378956,-1.429941557,0.229952136,-0.828083447,-0.319779886,0.778207457,0.146643527,-0.702086714,-0.156753243,0.000000000,3,0.994018658,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.806035456,0.078494474,0.729806089,-0.130761045,0.344915011,-0.219108833,0.208066853
